Username,Total Experience,Level Experience,Level
TheSlushyDealer,49972,1915,24
CrazyFan_,49185,296,23
halzywow,40587,2517,21
accappy,37486,2279,22
f0xythebest,34539,1021,21
GFGeorgeFord,31634,1915,21
Darknyes,30641,2486,21
CherryGirly,29593,30,19
beebuilding,26592,18,19
rnqueerball123,26522,364,20
0MN1J0D,26233,580,18
MANONFIRE888,26130,185,19
CarrotHeadMan,26018,951,19
PantherPikachu,25773,1693,19
esrowan,25131,1801,18
Lionthenoob_,23883,1192,18
CERSBRAD_FANBOY1,23704,1760,18
Picks_L,23403,1332,17
FurryFemboyMeow,23279,1322,18
LoganTime,22985,874,17
robbeff,22586,440,17
Harebear_31,22347,1270,18
Mets_,21939,226,17
MagicMarc,21789,79,19
BuddyTheBot,21722,1405,19
Delano_Mug,20746,2000,19
sdiuqs,19653,1287,17
_GreenRCDriver_,19483,415,17
Yungsoupyz,18742,457,16
iiWawa,18532,1035,17
Oogim,18340,816,16
Nitroplasma,17973,425,16
izsokok,17466,928,17
Painvsz,17066,973,15
Sheep_S,16871,337,16
Christory,16564,444,15
TomGoatis,16307,1130,16
Greninjablade,16198,798,17
DartzyGlazer48,15728,277,15
Phloofiness,15321,602,15
Gyatatouille21,15121,4,15
Finalities,15101,358,15
Splashy_live,14511,978,14
ImBlackNoir,14489,233,15
TechnoIsPog,14387,68,16
AJG676,13963,1039,14
Stray,13875,300,14
KingDixie,13776,721,15
priceycelery,13520,550,15
Adjacentt,13431,1212,16
indiglore,13087,755,15
astrophiile,13051,249,14
RnsoccerIsTrans,12975,667,15
Jorifij,12720,392,15
XVRCATALYST,12602,404,14
ImScaredOfGays,12266,535,14
XVRGEORGEGUY,12233,920,13
Arturix1226,12140,799,13
AlienSearcherFBI,11911,949,13
blueestars,11851,471,13
Turxe,11798,514,13
ilikecountries,11606,278,13
GilgyWilgy,11599,1102,15
GracefulBuddy,11588,397,14
JustCatt_,11574,237,13
Void_Energy,11483,941,14
ihywhoami,11275,779,15
Duckoes,10992,442,14
_MiniPika_,10848,1047,14
oGracie,10761,959,14
OceanMuncher32,10757,104,13
ILoveBuddyTheBot,10631,835,14
OmniBoundless,10370,983,12
alandjlfc,10214,702,13
XVRNATSUKI,10169,746,12
Fe4thers,10027,74,13
Lizariam,10018,1059,14
Dartzy_,10012,531,13
_Kreesh_,10007,621,15
Talci,9897,182,14
BaseFace009,9875,503,12
AmirTheGamer10,9816,418,12
qDeep,9783,402,12
MattyBs,9703,268,12
Limedd,9616,667,14
JustLuna_,9537,565,13
BMH_,9480,105,12
milo_wh,9462,38,13
nealexandraa,9369,395,13
enderpro,9286,342,14
NoRealNames,9156,182,12
AstroBower,9130,169,13
ImAmTechnoblade,8971,47,12
JamesMinecraft,8898,581,13
Dr01d_,8754,777,12
